regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000001,姗玛塔尔,-94046559700991200,49520153153798800,-42738731818402000,-103300968263126000,-84792151138856100,41707503568269900,57332802739327600,28403529106921700,57073934529882300,500007,14335200000000000
10000001,20000002,安纳勒斯,-79181270817314200,59721766023555100,-85767563621370000,-88787078299773200,-69575463334855200,47720998612000000,71722533435110300,75226052138828800,96309075103911500,500007,12000800000000000
10000001,20000003,玛莫纳,-66544834327682000,39477217750414000,-102442842021202000,-74379810853747800,-58709857801616300,26044509386392200,52909926114435800,96720410106924400,108165273935480000,500007,13432700000000000
10000001,20000004,卡兰金,-70742811798454600,45321203236056600,-43750504506967200,-81553344112251200,-59932279484658000,39508226756646300,51134179715466800,36346375132950800,51154633880983600,500007,10810500000000000
10000001,20000005,赫瓦卡,-77059565114676100,27128553877044000,-26423360511028700,-87895710227609500,-66223420001743000,15194641371952600,39062466382135400,22409023277357100,30437697744700300,500007,11933900000000000
10000001,20000006,姗茨迪,-60336253980716800,41320717260796600,-73045951609031200,-62779423667720400,-57893084293713400,30602000215019500,52039434306573600,64245757325714800,81846145892347600,500007,10718700000000000
10000001,20000007,安纳娜,-81387267384142200,35795629390012100,-93153036077994000,-89393067632056100,-73381467136228000,24422502349262500,47168756430761600,78999332766387200,107306739389600000,500007,14153700000000000
10000001,20000008,莫莎斯,-80743795009778300,38283162656076700,-64811841380152800,-85039605426929600,-76447984592627100,33253850385570600,43312474926582800,57665504477869500,71958178282436300,500007,7146340000000000
10000001,20000009,莫卡什塔德,-70591121348561000,67796138757472300,-59587016159270000,-85714432605002000,-55467810092119800,56960319635112800,78631957879831900,53501874200793500,65672158117746600,500007,15123300000000000
10000001,20000010,贝达列亚,-105549987563848000,71337084858167800,-92442300219604800,-115776531141552000,-95323443986144400,60897202373633200,81776967342702300,81696206367769200,103188394071440000,500007,10746100000000000
10000001,20000011,奥尔什德,-104177990519564000,64228977553587600,-57850582055308400,-112289887271664000,-96066093767465700,60153248576634800,68304706530540300,55559557102143200,60141607008473500,500007,8111900000000000
10000001,20000012,奥拉隆,-100508080691443000,52985129937712200,-67838940948732200,-106306688887847000,-94709472495039200,43353413865686400,62616846009737900,61405745587947600,74272136309516700,500007,9631720000000000
10000001,20000013,奥贵,-85376912341931900,74627511451559800,-95203902877559800,-88958161349679600,-81795663334184100,66954736263958700,82300286639160900,86139083467917500,104268722287202000,500007,9064820000000000
