regionID,regionName,x,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,德里克,-77361951922776800,-77361951922776800,50878032664301900,-64433101266115400,-105549987563848000,-49173916281705600,27128553877044000,74627511451559800,26423360511028700,102442842021202000,500007,None
10000002,伏尔戈,-96420329664617600,-96420329664617600,64027075837740400,112539817132904000,-143645654698282000,-49195004630953000,35154556396755100,92899595278725600,-144452603161759000,-80627031104049700,500001,None
10000003,静寂谷,-44069323337837900,-44069323337837900,94729444152458300,181384695885576000,-99233760260769400,11095113585093600,58204170407514300,131254717897402000,-218879593357516000,-143889798413638000,None,None
10000004,UUA-F4,89868004257875900,89868004257875900,54780096006728400,272575750367216000,67390827320013600,112345181195738000,13865039116517100,95695152896940000,-380774177850620000,-164377322883812000,None,None
10000005,底特里德,133540404993619000,133540404993619000,-31391501876004700,-196392258478521000,58085917807688300,208994892179550000,-50720332048902600,-12062671703106700,164748864800977000,228035652156065000,None,None
10000006,邪恶湾流,96232593513274400,96232593513274400,2541722640313030,-162683939101784000,55094289188289600,137370897838259000,-16779717773981400,21863163054607500,142341340477442000,183026537726128000,None,None
10000007,地窖,244727810799539000,244727810799539000,-16185129443509700,-85073283149395200,183951658928238000,305503962670838000,-42131490031126800,9761231144107390,49918145941828400,120228420356962000,None,None
10000008,灼热之径,64136817637020400,64136817637020400,5114679584706430,-138210100477706000,18636660874023100,109636974400018000,-21485660357373500,31715019526786400,103993036168968000,172427164786443000,None,None
10000009,因斯姆尔,154196834892712000,154196834892712000,2835111179265830,-145389178945984000,108381641944456000,200012027840968000,-41217100179207500,46887322537739200,98366331309125400,192412026582844000,None,None
10000010,特布特,-120113706247411000,-120113706247411000,100251692022651000,224257843400491000,-180136061822224000,-60091350672596300,81744510925868800,118758873119434000,-248701329588798000,-199814357212184000,None,None
10000011,大荒野,52513837630224000,52513837630224000,29056627593860200,-72759207717599200,15787578166538700,89240097093909500,-4417019452325860,62530274640046300,37724433284453200,107793982150744000,500015,None
10000012,柯尔斯,13928759309586000,13928759309586000,-1279955725086000,-151114759582864000,-17164902474422800,45022421093594800,-30265859627869800,27705948177697800,135105384527696000,167124134638033000,500011,None
