stationID,security,dockingCostPerVolume,maxShipVolumeDockable,officeRentalCost,operationID,stationTypeID,corporationID,solarSystemID,constellationID,regionID,stationName,x,y,z,reprocessingEfficiency,reprocessingStationsTake,reprocessingHangarFlag
60000004,0.7080867245,0E-10,50000000.0000000000,10000,26,1531,1000002,30002780,20000407,10000033,姆沃莱伦 X - 卫星 3 - CBD社团 储存工厂,1723680890880.0000000000,256414064640.0000000000,-60755435520.0000000000,0.5000000000,0.0500000000,4
60000007,0.7944237869,0E-10,50000000.0000000000,10000,26,1531,1000002,30002779,20000407,10000033,欧诺 V - 卫星 9 - CBD社团 储存工厂,-640881254400.0000000000,-65580441600.0000000000,-506471424000.0000000000,0.5000000000,0.0500000000,4
60000010,0.8074703590,0E-10,50000000.0000000000,10000,26,1531,1000002,30002776,20000407,10000033,安那罗 I - CBD社团 储存工厂,2234081280.0000000000,327966720.0000000000,35834142720.0000000000,0.5000000000,0.0500000000,4
60000013,0.7944237869,0E-10,50000000.0000000000,10000,26,1531,1000002,30002779,20000407,10000033,欧诺 V - 卫星 2 - CBD社团 储存工厂,-640134881280.0000000000,-65504993280.0000000000,-507244339200.0000000000,0.5000000000,0.0500000000,4
60000016,0.8308547958,0E-10,50000000.0000000000,10000,26,1531,1000002,30002778,20000407,10000033,塔萨比什 VIII - 卫星 13 - CBD社团 储存工厂,-5865870581760.0000000000,-654233640960.0000000000,2584889794560.0000000000,0.5000000000,0.0500000000,4
60000019,0.8308547958,0E-10,50000000.0000000000,10000,26,1531,1000002,30002778,20000407,10000033,塔萨比什 VI - 卫星 1 - CBD社团 储存工厂,-701220986880.0000000000,-78208819200.0000000000,1824795402240.0000000000,0.5000000000,0.0500000000,4
60000022,0.4567548925,0E-10,50000000.0000000000,10000,26,1531,1000002,30002650,20000388,10000032,勒伊 X - 卫星 15 - CBD社团 储存工厂,1237879480320.0000000000,10972569600.0000000000,7508090880.0000000000,0.5000000000,0.0500000000,4
60000025,0.5517798187,0E-10,50000000.0000000000,10000,26,1531,1000002,30002648,20000388,10000032,阿尔蒂尼 VIII - 卫星 5 - CBD社团 储存工厂,2035178741760.0000000000,-405832949760.0000000000,735734538240.0000000000,0.5000000000,0.0500000000,4
60000028,0.4480995304,0E-10,50000000.0000000000,10000,26,1531,1000002,30002654,20000388,10000032,舒拉撒拿 VI - 卫星 1 - CBD社团 储存工厂,-946854666240.0000000000,-170430013440.0000000000,694899548160.0000000000,0.5000000000,0.0500000000,4
60000031,0.4480995304,0E-10,50000000.0000000000,10000,26,1531,1000002,30002654,20000388,10000032,舒拉撒拿 VI - 卫星 6 - CBD社团 储存工厂,-947635937280.0000000000,-170569605120.0000000000,694779863040.0000000000,0.5000000000,0.0500000000,4
60000034,0.5517798187,0E-10,50000000.0000000000,10000,26,1531,1000002,30002648,20000388,10000032,阿尔蒂尼 VI - 卫星 12 - CBD社团 储存工厂,335164907520.0000000000,-66834554880.0000000000,387371704320.0000000000,0.5000000000,0.0500000000,4
60000037,0.4567548925,0E-10,50000000.0000000000,10000,26,1531,1000002,30002650,20000388,10000032,勒伊 X - 卫星 12 - CBD社团 储存工厂,1238247628800.0000000000,10976993280.0000000000,2682347520.0000000000,0.5000000000,0.0500000000,4
60000040,0.7795353407,0E-10,50000000.0000000000,10000,26,1531,1000002,30003393,20000495,10000042,伊鲁沃底 VI - 卫星 14 - CBD社团 储存工厂,-1108065853440.0000000000,37901721600.0000000000,399274598400.0000000000,0.5000000000,0.0500000000,4
